"","city","year","fortnights_since_start_of_year","mean_AH","mean_SH","mean_RH","mean_temp","mean_AH_for_that_fortnight_of_year","mean_SH_for_that_fortnight_of_year","mean_RH_for_that_fortnight_of_year","mean_temp_for_that_fortnight_of_year","d.AH","d.SH","d.RH","d.temp"
"1","ADELAIDE",1985,1,8.30444071480131,6.88460922585405,49.2142857142857,20.7857142857143,9.2802379772287,7.69210403429398,49.8319744771358,21.8888337468983,-0.975797262427388,-0.807494808439936,-0.617688762850051,-1.10311946118398
"2","ADELAIDE",1985,2,8.5129049802468,7.08970499652848,46.0714285714286,21.5357142857143,9.54236250426707,7.94688955804858,50.8571428571429,21.8730414746544,-1.02945752402027,-0.857184561520103,-4.78571428571428,-0.337327188940094
"3","ADELAIDE",1985,3,8.95013158507248,7.51322124663632,42.6153846153846,23.6846153846154,9.65723438719216,8.02066326226204,51.2617866004963,21.8310705423609,-0.707102802119682,-0.507442015625712,-8.64640198511167,1.85354484225452
"4","ADELAIDE",1985,4,8.88670142787626,7.39503413967764,49.2857142857143,20.8214285714286,9.64313817194392,7.95252117040042,49.9439914923786,22.4026409074796,-0.756436744067667,-0.557487030722773,-0.658277206664302,-1.58121233605105
"5","ADELAIDE",1985,5,8.76786474609083,7.31479085526049,49.7692307692308,20.9692307692308,9.39662246043246,7.72086469929729,52.962743707905,20.8621162708259,-0.628757714341628,-0.406073844036799,-3.19351293867423,0.107114498404822
"6","ADELAIDE",1985,6,11.9235272085301,9.89469134884574,65.6666666666667,21.2916666666667,9.24998552498511,7.66352953009798,55.3917050691244,19.7751920122888,2.67354168354501,2.23116181874775,10.2749615975422,1.51647465437788
"7","ADELAIDE",1985,7,9.9992343872478,8.19469502017175,66.6923076923077,17.8076923076923,8.95844184623944,7.39037964587911,58.4354838709677,18.2374867068415,1.04079254100836,0.804315374292639,8.25682382133995,-0.429794399149237
"8","ADELAIDE",1985,8,8.15670036029303,6.67005141795263,59.8571428571429,17.0071428571429,8.51880906711875,6.96637952117971,59.6232718894009,17.0250768049155,-0.362108706825722,-0.296328103227088,0.233870967741936,-0.0179339477726579
"9","ADELAIDE",1985,9,7.46009936449328,6.10868172420549,48.7142857142857,18.2285714285714,8.45391251559806,6.80532505549751,63.3898198575618,15.7985756179305,-0.993813151104774,-0.696643331292027,-14.6755341432761,2.42999581064097
"10","ADELAIDE",1985,10,8.52423712722242,6.83094108512762,74.5384615384615,13.0615384615385,8.42225519622515,6.82602086123522,68.2586553231715,14.4373596833274,0.101981930997267,0.00492022389240709,6.27980621529008,-1.37582122178896
